username,password,side_effect1,side_effect2,side_effect3,side_effect4,side_effect5,old_1,old_2,old_3,new_1,new_2,top_1,top_2,top_3,sub_1,sub_2
patient1,patient1h,,,,,,Acne,Asthma,,,,,,,,
patient2,patient2h,,,,,,Diarrhea,Constipation,,,,,,,,
patient3,patient3h,,,,,,Eczema,Headache,,,,,,,,
patient4,patient4h,,,,,,Hayfever,Drowsiness,,,,,,,,
patient5,patient5h,,,,,,Vomiting,Tremors,,,,,,,,
patient6,patient6h,,,,,,Abdominal pain,Allergy,,,,,,,,
Prathik,12345,,,,,,Asthma,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
